Reporting starts,Campaign name,Ad set name,Ad name,Amount spent (USD),Impressions,Link clicks,Purchase,Purchase conversion value
01/15/2024,Q1 Fitness Campaign,Gym Enthusiasts 25-35,New Year Resolution Ad,245.67,18500,420,12,780.00
01/15/2024,Q1 Fitness Campaign,Gym Enthusiasts 25-35,Home Workout Guide,198.50,15600,385,9,630.00
01/15/2024,Q1 Fitness Campaign,Health Conscious 30-45,Nutrition Tips Video,312.25,22800,520,15,1125.00
01/15/2024,Q1 Fitness Campaign,Health Conscious 30-45,Meal Prep Solutions,275.00,20100,465,13,975.00
01/15/2024,Spring Fashion Launch,Women 20-35,Trendy Outfits 2024,425.75,35600,890,28,2240.00
01/15/2024,Spring Fashion Launch,Women 20-35,Sustainable Fashion,380.50,31200,785,22,1760.00
01/15/2024,Spring Fashion Launch,Men 25-40,Casual Wear Collection,345.25,28900,720,19,1520.00
01/16/2024,Q1 Fitness Campaign,Gym Enthusiasts 25-35,New Year Resolution Ad,235.80,17800,405,11,715.00
01/16/2024,Q1 Fitness Campaign,Gym Enthusiasts 25-35,Home Workout Guide,210.75,16200,395,10,700.00
01/16/2024,Q1 Fitness Campaign,Health Conscious 30-45,Nutrition Tips Video,298.50,21500,485,14,1050.00
01/16/2024,Q1 Fitness Campaign,Health Conscious 30-45,Meal Prep Solutions,265.25,19800,445,12,900.00
01/16/2024,Spring Fashion Launch,Women 20-35,Trendy Outfits 2024,415.00,34800,865,26,2080.00
01/16/2024,Spring Fashion Launch,Women 20-35,Sustainable Fashion,370.25,30500,765,21,1680.00
01/16/2024,Spring Fashion Launch,Men 25-40,Casual Wear Collection,355.75,29800,745,20,1600.00
01/17/2024,Tech Product Launch,Early Adopters 25-45,Innovation Showcase,520.50,42300,1025,35,3500.00
01/17/2024,Tech Product Launch,Early Adopters 25-45,Behind the Scenes,485.25,39800,965,32,3200.00
01/17/2024,Tech Product Launch,Tech Professionals 30-50,Business Solutions,675.00,52600,1285,42,4200.00
01/17/2024,Tech Product Launch,Tech Professionals 30-50,Productivity Tools,625.75,48900,1195,38,3800.00